trial_id,frame,gesture,timestamp_s,palm_roll,palm_pitch,palm_yaw,thumb_mcp,thumb_pip,thumb_dip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,little_mcp,little_pip,little_dip
0,0,OPEN,0.0,-0.0399783401388575,0.02958287200154284,0.011861949741569637,707.5609446422944,739.4167344438345,703.6462891324516,785.6847486905029,733.1036945470116,721.2671724781784,708.1588310184379,773.1102382596665,740.8017368007341,724.8471711225445,740.1416778543233,759.0414858646368,756.0322574072883,765.4940582473945,761.6235205504911
0,1,OPEN,0.016666666666666666,-0.03999472297429048,0.029639019807173764,0.011727350981382577,720.3393825856225,746.7751172222967,718.5731520456493,780.2007451596369,724.7051656067025,728.7195293131126,701.9888375895066,778.1583382530059,729.5920823795592,711.0258509280767,731.9587126590046,780.6459960498677,745.0523330196886,774.009983701902,742.607936867043
0,2,OPEN,0.03333333333333333,-0.03999999642161815,0.029691133458644565,0.011591937826534756,708.2762445062829,746.1666923855998,717.6462397285231,786.6372202626766,729.747443971802,718.9193963322427,711.9368778614175,789.9348092291505,732.382765673671,704.6577661771308,723.3772630312366,756.5020600775076,758.6822516171587,765.7514575166928,766.3414881238787
0,3,OPEN,0.05,-0.039994159016027944,0.029739205862788692,0.011455719680663069,707.3525683427753,746.1245586453169,718.0399203546036,776.4314890675456,726.3817239953768,715.7873876440607,712.9298573224125,777.5376714765956,722.3374124665968,722.2843542183659,730.0161117692442,765.8215241248006,758.5181107656801,768.7925119162866,766.0904856729288
0,4,OPEN,0.06666666666666667,-0.039977212378983884,0.02978323047649203,0.01131870600330623,710.6402399610464,740.3061786141083,710.9868343058663,762.6516101251677,707.3428468955718,709.1796509311831,706.5879275120484,785.3527926838133,725.2410183688866,713.6330038701162,747.7024181491321,762.1339432269095,761.0857998612919,754.9910233558884,757.3822590045247
0,5,OPEN,0.08333333333333333,-0.03994916121777618,0.02982320130758345,0.011180906309247887,702.1248742570348,741.1488309755441,720.1870977895043,762.2517502328245,726.1582080552613,724.78400307805,710.6188962310953,766.8944718726943,735.0171039996259,712.1197023198721,737.0368972848185,765.9151043927582,769.7284330898302,761.9336438812569,749.2016596569823
0,6,OPEN,0.1,-0.03991001332421369,0.02985911291565043,0.011042330167855855,713.4178511557038,746.7391285742674,725.3758921673347,787.8760669238939,725.3826822112978,737.0396759669228,704.6727652448347,774.9575350890815,725.030049508432,713.5165313789524,720.9432736957083,772.0480924056678,751.4884172056333,749.6191372109606,749.2808437711255
0,7,OPEN,0.11666666666666667,-0.03985977957245957,0.029890960412779537,0.010902987202417603,714.7602332806425,752.9204274134936,731.7513253318482,808.6635791248214,725.9580659525627,712.5112658544085,695.2399329807502,784.0321650400173,726.1663979693839,713.2610568087132,728.5891671806734,764.28867407336,764.3704464844975,765.8976858304407,757.8502862128141
0,8,OPEN,0.13333333333333333,-0.03979847391601075,0.02991873946422172,0.010762887089471946,701.2685572778826,727.7923322875063,706.920937324197,778.9871289565648,739.4932707556015,723.709392269456,726.3877908982938,776.3620944311874,722.4463712583168,707.7634617881864,727.4578745259139,786.9812802618754,745.4967773843772,772.7120921933506,750.4073628023307
0,9,OPEN,0.15,-0.039726113383822044,0.029942446288982304,0.0106220395581371,720.940824934883,748.3886713956084,710.2176374383494,779.1173292033936,715.2660946655088,726.867369069548,712.0105609846555,769.0989927789064,721.516433179291,719.1405085877312,750.5010477353758,767.2964990732581,752.5242609155222,767.1854615520126,772.4966520002693
